Tensile;HB;HV;HRB;HRC
285;86;90;;
320;95;100;56.2;
350;105;110;62.3;
385;114;120;66.7;
415;124;130;71.2;
450;133;140;75.0;
480;143;150;78.7;
510;152;160;81.7;
545;162;170;85.0;
575;171;180;87.1;
610;181;190;89.5;
640;190;200;91.5;
675;199;210;93.5;
705;209;220;95.0;
740;219;230;96.7;
770;228;240;98.1;
800;238;250;99.5;
820;242;255;;23.1
850;252;265;;24.8
880;261;275;;26.4
900;266;280;;27.1
930;276;290;;28.5
950;280;295;;29.2
995;295;310;;31.0
1030;304;320;;32.2
1060;314;330;;33.3
1095;323;340;;34.4
1125;333;350;;35.5
1155;342;360;;36.6
1190;352;370;;37.7
1220;361;380;;38.8
1255;371;390;;39.8
1290;380;400;;40.8
1320;390;410;;41.8
1350;399;420;;42.7
1385;409;430;;43.6
1420;418;440;;44.5
1455;428;450;;45.3
1485;437;460;;46.1
1520;447;470;;46.9
1555;456;480;;47.7
1595;466;490;;48.4
1630;475;500;;49.1
1665;485;510;;49.8
1700;494;520;;50.5
1740;504;530;;51.1
1775;513;540;;51.7
1810;523;550;;52.3
1845;532;560;;53.0
1880;542;570;;53.6
1920;551;580;;54.1
1955;561;590;;54.7
1995;570;600;;55.2
2030;580;610;;55.7
2070;589;620;;56.3
2105;599;630;;56.8
2145;608;640;;57.3
2180;618;650;;57.8
